Source,Target,Weight,Source_Function,Target_Function
SBDS,ESYT2,1.0,inner cell mass cell proliferation,lipid transport
DAXX,DNPH1,1.0,chromatin organization,allantoin metabolic process
EIF2D,BROX,1.0,formation of translation preinitiation complex,mitotic nuclear membrane reassembly
PTPRG,RBMS1 1,1.0,signal transduction,Unknown
RBM3,CIRBP,1.0,"mRNA splicing, via spliceosome","mRNA splicing, via spliceosome"
ERAP2,HLTF,1.0,adaptive immune response,protein polyubiquitination
TSC22D1,VANGL2,1.0,regulation of transcription by RNA polymerase II,establishment of planar polarity
RAB22A,QKI,1.0,intracellular protein transport,vasculogenesis
SH3GL1,SRGAP2,1.0,endocytosis,lamellipodium assembly involved in ameboidal cell migration
CHCHD2,C9orf64,1.0,mitochondrion organization,Unknown
FABP5,PEPD,1.0,glucose metabolic process,proteolysis
AIP,CORO1B,1.0,protein targeting to mitochondrion,actin filament organization
HSBP1,LIN7C,1.0,negative regulation of transcription by RNA polymerase II,morphogenesis of an epithelial sheet
QKI,CLASP2 1,0.7398225,vasculogenesis,Unknown
ACSS3,PITRM1,0.6758807,lipid metabolic process,proteolysis
AKR1B1,SPG20,0.66257435,retinoid metabolic process,Unknown
CHMP2B,GLUL,0.65126336,plasma membrane repair,angiogenesis
TBC1D4,PRKAR2B,0.6365843,vesicle-mediated transport,negative regulation of inflammatory response to antigenic stimulus
AUP1,GTF2B,0.6313256,response to virus,transcriptional start site selection at RNA polymerase II promoter
PPIL3,PMVK,0.62197816,"mRNA splicing, via spliceosome",lipid metabolic process
POLR3A,FKBP1A,0.6212946,immune system process,heart morphogenesis
CBFB 2,CBFB 1,0.61677283,Unknown,Unknown
SCRN1,VPS28,0.6088126,proteolysis,protein transport
C14orf159,PPID,0.59900105,Unknown,negative regulation of transcription by RNA polymerase II
PRKCD,TKT,0.596359,protein phosphorylation,pentose-phosphate shunt
NP_001122083,HDHD2,0.58936316,Unknown,Unknown
CLASP2 2,CLASP2 1,0.58934325,Unknown,Unknown
DHX29,FAF2,0.587605,formation of translation preinitiation complex,response to unfolded protein
EXOC4,EXOC7,0.58296144,mitotic cytokinesis,mitotic cytokinesis
GALT,HPCAL1,0.5799617,UDP-alpha-D-glucose metabolic process,regulation of signal transduction
FTH1,FTL,0.57589734,iron ion transport,iron ion transport
GTF2B,NUP107,0.5747395,transcriptional start site selection at RNA polymerase II promoter,post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery
GSTT1,PTPLB,0.56328475,glutathione metabolic process,Unknown
CBFB 1,CBFB 2,0.5589715,Unknown,Unknown
CD97,SLFN5,0.5555625,Unknown,rRNA catabolic process
DTYMK,BOLA2B,0.5552214,dUDP biosynthetic process,intracellular iron ion homeostasis
ATF7IP,URB1,0.5546197,negative regulation of transcription by RNA polymerase II,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
CHL1,DHX38,0.5532906,neuron migration,"mRNA splicing, via spliceosome"
TRNT1,XPC,0.54298925,tRNA 3'-terminal CCA addition,pyrimidine dimer repair by nucleotide-excision repair
MAPK14 1,MAPK14 2,0.5413064,Unknown,Unknown
URB1,PDE12,0.54025984,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
FCGBP,AHNAK 2,0.5346162,Unknown,Unknown
DEPTOR,ASRGL1,0.53342974,negative regulation of protein kinase activity,proteolysis
PUM2,RRM1,0.53171325,skeletal system development,DNA synthesis involved in DNA repair
INTS3,ENSA,0.53126675,double-strand break repair via homologous recombination,G2/M transition of mitotic cell cycle
CCS,NEMF,0.5309843,superoxide metabolic process,nuclear export
NLE1,RAB34,0.5278311,somitogenesis,protein transport
MSRB2,MAPK14 2,0.52066696,response to oxidative stress,Unknown
